Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-September-2011,1047.00,1063.00,1037.50,1048.15,1048.786226169330965068,211125,9926,221424992.00,31208,14.78,25.50,1.15
27-September-2011,1015.00,1042.00,1006.00,1038.25,1027.904997886232326553,212890,9571,218830695.00,57899,27.20,36.00,23.25
26-September-2011,1000.00,1008.80,970.00,998.50,988.054404267568537250,359549,12324,355253973.00,110063,30.61,38.80,-1.50
23-September-2011,990.00,1014.50,982.70,991.40,999.200251786654222038,368566,14793,368271240.00,63939,17.35,31.80,1.40
22-September-2011,1025.00,1034.00,988.15,995.15,1013.538041578902626781,317613,10743,321912858.00,135777,42.75,45.85,-29.85
21-September-2011,1065.00,1067.20,1037.65,1043.05,1049.312375514165288976,177229,7365,185968583.00,29220,16.49,29.55,-21.95
20-September-2011,1024.00,1065.00,1016.00,1057.90,1046.850195154576399772,200354,8866,209740624.00,43766,21.84,49.00,33.90
19-September-2011,1023.50,1031.90,1012.70,1017.80,1022.216928232038556373,205621,7459,210189267.00,47126,22.92,19.20,-5.70
16-September-2011,1045.20,1071.00,1021.00,1029.20,1053.189243333263652263,287022,10921,302288483.00,88819,30.95,50.00,-16.00
15-September-2011,1029.50,1044.00,1010.45,1040.05,1028.870397949162467091,216887,10079,223148614.00,25268,11.65,33.55,10.55
14-September-2011,1002.00,1028.40,994.00,1017.05,1013.000205905711992536,237973,11514,241066698.00,33758,14.19,34.40,15.05
13-September-2011,999.00,1023.20,991.15,994.80,1008.058351110553394403,167349,8409,168697557.00,14482,8.65,32.05,-4.20
12-September-2011,1002.00,1002.95,979.00,988.80,986.987657420916147522,230989,8249,227983292.00,98280,42.55,23.95,-13.20
9-September-2011,1037.00,1051.00,1011.25,1015.95,1024.213453254920162335,176671,7483,180948815.00,55343,31.33,39.75,-21.05
8-September-2011,1034.90,1055.00,1030.00,1035.90,1042.675204319590884901,231133,9245,240996648.00,66715,28.86,25.00,1.00
7-September-2011,1030.95,1048.75,1025.10,1030.80,1038.645182406266502376,181792,7945,188817385.00,50920,28.01,23.65,-0.15
6-September-2011,1019.40,1041.35,1005.00,1030.95,1022.555203466367361854,191555,8821,195875562.00,33208,17.34,36.35,11.55
5-September-2011,1014.00,1034.00,999.15,1027.80,1011.445768440283169673,218950,8024,221456051.00,73407,33.53,34.85,13.80
2-September-2011,1061.00,1073.00,1015.15,1021.65,1026.428288982904957405,191693,7738,196759118.00,42208,22.02,57.85,-39.35
30-August-2011,1029.85,1050.00,1022.60,1040.60,1037.527597458800720121,462144,11860,479487154.00,180873,39.14,27.40,10.75
29-August-2011,967.00,1025.00,966.80,1018.60,1005.309824827583026468,433687,15939,435989802.00,167497,38.62,58.20,51.60
26-August-2011,954.90,968.40,940.50,949.15,953.688044207617919873,253350,8358,241616866.00,104421,41.22,27.90,-5.75
25-August-2011,964.00,972.90,940.25,955.15,955.211958158766669404,219114,8262,209300313.00,65397,29.85,32.65,-8.85
24-August-2011,982.90,982.90,955.35,962.75,964.473969210573423235,201108,7905,193963431.00,46930,23.34,27.55,-20.15
23-August-2011,922.90,986.00,920.45,979.50,964.451512509807340249,344130,14882,331896699.00,36702,10.67,65.55,56.60
22-August-2011,929.00,930.00,902.90,918.30,917.243990695270095631,162498,8808,149050314.00,27004,16.62,27.10,-10.70
19-August-2011,937.15,944.45,906.00,929.80,924.269177494442530017,295998,14096,273581828.00,63504,21.45,38.45,-7.35
18-August-2011,1007.00,1009.45,958.50,962.10,972.370975023928629476,221492,8872,215372392.00,65932,29.77,50.95,-44.90
17-August-2011,975.00,1010.00,970.00,1004.55,997.637516399504685370,352907,11390,352073263.00,105385,29.86,40.00,29.55
16-August-2011,971.90,977.90,957.00,974.05,967.339708242159008023,205650,6131,198933411.00,63864,31.05,20.90,2.15
12-August-2011,990.05,992.05,938.10,951.20,955.345643665339540947,355907,11664,340014202.00,144146,40.50,53.95,-38.85
11-August-2011,980.00,984.00,962.60,977.70,974.828182714748635519,163249,6492,159139726.00,41641,25.51,21.40,-2.30
10-August-2011,998.90,1012.00,975.00,984.00,990.001472518621673383,325293,9812,322040549.00,120412,37.02,37.00,-14.90
9-August-2011,966.00,984.70,948.00,967.25,965.182602624092041226,479785,16741,463080135.00,152260,31.74,36.70,1.25
8-August-2011,1010.00,1031.00,996.90,1009.25,1007.860693168709730786,441249,14557,444717523.00,184132,41.73,34.10,-0.75
5-August-2011,1078.00,1078.00,1028.00,1056.70,1048.535945169270097427,460034,17477,482362185.00,178285,38.75,50.00,-21.30
4-August-2011,1113.00,1119.60,1093.00,1096.80,1105.398595375339561386,211302,6800,233572934.00,107278,50.77,26.60,-16.20
3-August-2011,1122.00,1126.40,1095.30,1109.65,1111.156680442848954719,165745,7108,184168664.00,63071,38.05,31.10,-12.35
2-August-2011,1134.00,1135.00,1122.45,1130.70,1130.283194225633805964,447495,3265,505796078.00,399894,89.36,12.55,-3.30
1-August-2011,1138.10,1149.80,1127.30,1133.60,1135.008682384077344783,148116,4006,168112946.00,71125,48.02,22.50,-4.50
29-July-2011,1136.60,1141.75,1123.00,1134.45,1134.374570571004954254,55306,2901,62737720.00,12724,23.01,18.75,-2.15
28-July-2011,1138.50,1143.00,1120.15,1128.65,1131.526669401989947686,97490,4223,110312535.00,26891,27.58,22.85,-9.85
27-July-2011,1146.05,1154.05,1138.00,1146.05,1147.485791324444886243,80479,3643,92348509.00,22697,28.20,16.05,0.00
26-July-2011,1139.00,1149.90,1127.00,1143.80,1140.896224151993475027,104215,4903,118898500.00,21664,20.79,22.90,4.80
25-July-2011,1132.00,1142.80,1124.00,1139.30,1133.803671099719169975,142791,5429,161896960.00,74016,51.84,18.80,7.30
22-July-2011,1133.00,1139.90,1126.00,1132.70,1134.177797128410136652,101059,3987,114618874.00,41228,40.80,13.90,-0.30
21-July-2011,1132.50,1133.40,1120.00,1122.65,1124.269205839502869205,168165,4860,189062731.00,106176,63.14,13.40,-9.85
20-July-2011,1150.00,1155.00,1125.60,1132.00,1133.133909373713344617,174872,6854,198153393.00,74930,42.85,29.40,-18.00
19-July-2011,1124.00,1146.95,1120.50,1139.35,1137.225021629132475159,114429,6254,130131522.00,28255,24.69,26.45,15.35
18-July-2011,1150.80,1153.25,1123.00,1125.40,1128.868596305818887329,316985,8667,357834412.00,144033,45.44,30.25,-25.40
15-July-2011,1125.25,1166.40,1125.25,1148.05,1153.059678150899162980,339538,12493,391507577.00,70244,20.69,41.15,22.80
14-July-2011,1150.55,1159.00,1119.00,1125.25,1138.232166080965162290,433668,14547,493614867.00,130009,29.98,40.00,-25.30
13-July-2011,1152.00,1167.70,1133.00,1150.90,1150.929951265035255080,192880,8484,221991369.00,23514,12.19,34.70,-1.10
12-July-2011,1144.00,1150.00,1113.65,1146.75,1139.897895090010065286,181813,6664,207248256.00,33255,18.29,36.35,2.75
11-July-2011,1170.00,1178.95,1147.30,1155.80,1158.216699640946728218,136470,4643,158061833.00,50231,36.81,31.65,-14.20
8-July-2011,1197.00,1204.90,1169.00,1171.50,1183.379710263713296313,146409,4838,173257440.00,63370,43.28,35.90,-25.50
7-July-2011,1184.00,1199.50,1182.40,1196.00,1193.346725371491469455,118105,3032,140940215.00,71602,60.63,17.10,12.00
6-July-2011,1180.10,1192.00,1172.00,1180.35,1181.419382362003175882,84386,2706,99695256.00,31476,37.30,20.00,0.25
5-July-2011,1181.25,1189.00,1173.00,1179.70,1180.889936722403937272,65426,2872,77260905.00,20504,31.34,16.00,-1.55
4-July-2011,1188.00,1198.95,1180.25,1184.75,1190.236950314106225014,52530,2995,62523147.00,15801,30.08,18.70,-3.25
1-July-2011,1185.05,1191.00,1178.40,1186.35,1185.221114630953961720,105434,5131,124962603.00,27998,26.56,12.60,1.30
30-June-2011,1170.00,1185.40,1167.00,1180.35,1175.577182168409466152,90850,4297,106801187.00,28401,31.26,18.40,10.35
29-June-2011,1153.00,1177.85,1153.00,1169.60,1170.751556585333295193,104877,5578,122784911.00,30074,28.68,24.85,16.60
28-June-2011,1158.00,1162.75,1136.65,1152.95,1148.624735601950791824,91245,4603,104806264.00,13579,14.88,26.10,-5.05
27-June-2011,1120.70,1154.70,1120.70,1150.75,1143.636957593688362919,219024,6076,250483941.00,92074,42.04,34.00,30.05
24-June-2011,1096.00,1139.90,1096.00,1136.20,1128.557116642067875146,228331,7257,257684575.00,119098,52.16,43.90,40.20
23-June-2011,1079.20,1100.00,1071.05,1094.50,1091.030529731016897020,201574,5005,219923388.00,12532,6.22,28.95,15.30
22-June-2011,1111.05,1116.60,1080.00,1083.60,1090.778798411122144985,136952,5954,149384338.00,38979,28.46,36.60,-27.45
21-June-2011,1078.00,1110.40,1065.00,1104.15,1091.072784248346338790,129561,6718,141360481.00,24767,19.12,45.40,26.15
